id,created_at,source,original_text,lang,favorite_count,retweet_count,original_author,hashtags,user_mentions,place,place_coord_boundaries
1.16E+18,Sun Aug 11 15:05:59 +0000 2019,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","RT @Gaolata: RT @Ronald_vanLoon: What is #DeepLearning? [#INFOGRAPHICS] 
 by @MereteBuljo @Fisher85M @ipfconline1 | 

 #DL #AI #ArtificialIntelligence #ML #machineLearning #Robotics #DriverLess #Technology #Innovation #DataScience  

Cc: @tuautomotive @t… https://t.co/kuHypZFhAU",en,0,0,machine_ml,"DeepLearning, INFOGRAPHICS, DL, AI, ArtificialIntelligence, ML, machineLearning, Robotics, DriverLess, Technology, Innovation, DataScience","Gaolata, Ronald_vanLoon, MereteBuljo, Fisher85M, ipfconline1, TUAutomotive, t",,
1.16E+18,Sun Aug 11 15:05:26 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @rajat_shrimal: This Renault concept car showcases the technology in their future #AutonomousVehicles

#AI #Automation #Industry40 #Arti…",en,0,18,AITechmeme,"AutonomousVehicles, AI, Automation, Industry40",rajat_shrimal,"New York, USA",
1.16E+18,Sun Aug 11 15:05:06 +0000 2019,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Ronald_vanLoon: What is #DeepLearning? [#INFOGRAPHICS] 
 by @MereteBuljo @Fisher85M @ipfconline1 | 

 #DL #AI #ArtificialIntelligence #…",en,0,19,Gaolata,"DeepLearning, INFOGRAPHICS, DL, AI, ArtificialIntelligence","Ronald_vanLoon, MereteBuljo, Fisher85M, ipfconline1",impact. com,
1.16E+18,Sun Aug 11 15:04:42 +0000 2019,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @HeinzVHoenen: #AI #ML #SelfDrivingCars 

Researchers Have Developed An AI System That Knows If The Driver IsTtexting while Driving And…",en,0,6,ZorynaODonnell,"AI, ML, SelfDrivingCars",HeinzVHoenen,"Isle of Wight, United Kingdom",
1.16E+18,Sun Aug 11 15:02:59 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TomHall: Cool, but

NO WAY!

🚔

#SelfDrivingCars #Saturday 

https://t.co/Op56fRdg3R",en,0,118,osumark,"SelfDrivingCars, Saturday",TomHall,"Oklahoma, USA",
1.16E+18,Sun Aug 11 15:01:07 +0000 2019,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","#SelfDriving cars and other #AutonomousVehicles are here to stay, and #MSPs have a significant opportunity to become guardians of their security. https://t.co/uE5kH4DaU4",en,0,0,SmarterMSP,"SelfDriving, AutonomousVehicles, MSPs",,,
1.16E+18,Sun Aug 11 15:00:37 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TomHall: Cool, but

NO WAY!

🚔

#SelfDrivingCars #Saturday 

https://t.co/Op56fRdg3R",en,0,118,SJM0911,"SelfDrivingCars, Saturday",TomHall,,
1.16E+18,Sun Aug 11 14:58:58 +0000 2019,"<a href=""http://www.wiomax.com/AI"" rel=""nofollow"">WioCities1</a>","RT @ThomasFrey: In 2017, #Bosch and #Daimler teamed up to create a #driverless #valet service. That #prototype technology has just been giv…",en,0,2,WIOMAX_MD,"Bosch, Daimler, driverless, valet, prototype",ThomasFrey,United States,
1.16E+18,Sun Aug 11 14:58:48 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TomHall: Cool, but

NO WAY!

🚔

#SelfDrivingCars #Saturday 

https://t.co/Op56fRdg3R",en,0,118,MI4EYP,"SelfDrivingCars, Saturday",TomHall,Staffordshire,
1.16E+18,Sun Aug 11 14:56:35 +0000 2019,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TomHall: Cool, but

NO WAY!

🚔

#SelfDrivingCars #Saturday 

https://t.co/Op56fRdg3R",en,0,118,crazylegsmike,"SelfDrivingCars, Saturday",TomHall,"Memphis, TN",
1.16E+18,Sun Aug 11 14:54:03 +0000 2019,"<a href=""http://www.digitalbit.in"" rel=""nofollow"">Digitalbit Desk</a>","RT @SpirosMargaris: Driverless Cars, #Chatbots, #ArtificialIntelligence: 

Where Is The Human Factor? 

https://t.co/hFl3pxfX87 #fintech #A…",en,0,3,sanketmraut,"Chatbots, ArtificialIntelligence, fintech",SpirosMargaris,Mumbai,
